Species,Variety,Processing.Method,Total.Cup.Points,Moisture
Arabica,Other,Washed / Wet,89.92,0.12
Arabica,Other,Washed / Wet,88.83,0.12
Arabica,Other,Washed / Wet,88.75,0.11
Arabica,Other,Natural / Dry,88.25,0.1
Arabica,Other,Washed / Wet,87.92,0.0
Arabica,Other,Washed / Wet,87.92,0.0
Arabica,Other,Washed / Wet,87.58,0.0
Arabica,Other,Washed / Wet,87.25,0.1
Arabica,Other,Natural / Dry,87.25,0.0
Arabica,Other,Washed / Wet,87.25,0.0
Arabica,Caturra,Washed / Wet,87.17,0.11
Arabica,Other,Washed / Wet,87.17,0.13
Arabica,Other,Washed / Wet,87.08,0.0
Arabica,Bourbon,Natural / Dry,86.92,0.12
Arabica,Other,Washed / Wet,86.83,0.12
Arabica,Other,Other,86.58,0.0
Arabica,Bourbon,Natural / Dry,86.42,0.12
Arabica,Caturra,Washed / Wet,86.33,0.0
Arabica,Other,Washed / Wet,86.25,0.12
Arabica,Other,Natural / Dry,86.25,0.0
Arabica,Other,Washed / Wet,86.17,0.0
Arabica,Caturra,Washed / Wet,86.17,0.1
Arabica,Bourbon,Other,86.08,0.12
Arabica,Other,Natural / Dry,86.08,0.11
Arabica,Bourbon,Other,86.08,0.11
Arabica,Caturra,Washed / Wet,86.0,0.12
Arabica,Other,Washed / Wet,86.0,0.11
Arabica,Other,Washed / Wet,86.0,0.1
Arabica,Bourbon,Washed / Wet,85.92,0.1
Arabica,Other,Natural / Dry,85.92,0.12
Arabica,Caturra,Washed / Wet,85.92,0.0
Arabica,Other,Washed / Wet,85.83,0.08
Arabica,Bourbon,Washed / Wet,85.83,0.12
Arabica,Catuai,Washed / Wet,85.83,0.1
Arabica,Caturra,Natural / Dry,85.75,0.09
Arabica,Bourbon,Washed / Wet,85.58,0.1
Arabica,Bourbon,Other,85.58,0.11
Arabica,Other,Natural / Dry,85.58,0.0
Arabica,Caturra,Natural / Dry,85.5,0.09
Arabica,Other,Natural / Dry,85.5,0.1
Arabica,Other,Natural / Dry,85.5,0.12
Arabica,Other,Washed / Wet,85.5,0.12
Arabica,Bourbon,Washed / Wet,85.5,0.11
Arabica,Other,Washed / Wet,85.42,0.12
Arabica,Other,Natural / Dry,85.42,0.0
Arabica,Bourbon,Other,85.42,0.11
Arabica,Other,Natural / Dry,85.33,0.1
Arabica,Other,Natural / Dry,85.33,0.11
Arabica,Caturra,Washed / Wet,85.33,0.0
Arabica,Caturra,Washed / Wet,85.33,0.1
Arabica,Other,Washed / Wet,85.33,0.0
Arabica,Other,Washed / Wet,85.33,0.0
Arabica,Caturra,Washed / Wet,85.25,0.11
Arabica,Caturra,Natural / Dry,85.25,0.12
Arabica,Other,Other,85.17,0.11
Arabica,Caturra,Washed / Wet,85.17,0.0
Arabica,Other,Natural / Dry,85.08,0.11
Arabica,Caturra,Natural / Dry,85.08,0.0
Arabica,Other,Natural / Dry,85.08,0.11
Arabica,Caturra,Natural / Dry,85.08,0.11
Arabica,Other,Washed / Wet,85.0,0.11
Arabica,Caturra,Washed / Wet,85.0,0.0
Arabica,Catuai,Washed / Wet,85.0,0.12
Arabica,Typica,Washed / Wet,85.0,0.09
Arabica,Other,Washed / Wet,85.0,0.0
Arabica,Other,Natural / Dry,85.0,0.12
Arabica,Caturra,Washed / Wet,84.92,0.0
Arabica,Caturra,Washed / Wet,84.92,0.12
Arabica,Typica,Other,84.92,0.11
Arabica,Other,Washed / Wet,84.92,0.12
Arabica,Caturra,Washed / Wet,84.92,0.11
Arabica,Typica,Other,84.92,0.11
Arabica,Bourbon,Natural / Dry,84.92,0.11
Arabica,Catuai,Natural / Dry,84.92,0.12
Arabica,Typica,Natural / Dry,84.83,0.0
Arabica,Other,Natural / Dry,84.83,0.12
Arabica,Other,Natural / Dry,84.83,0.0
Arabica,Caturra,Other,84.75,0.12
Arabica,Other,Washed / Wet,84.75,0.13
Arabica,Catuai,Washed / Wet,84.75,0.11
Arabica,Bourbon,Washed / Wet,84.67,0.0
Arabica,Other,Washed / Wet,84.67,0.12
Arabica,Other,Other,84.67,0.12
Arabica,Catuai,Washed / Wet,84.67,0.1
Arabica,Bourbon,Washed / Wet,84.67,0.1
Arabica,Caturra,Washed / Wet,84.67,0.12
Arabica,Other,Washed / Wet,84.67,0.1
Arabica,Other,Other,84.67,0.08
Arabica,Catuai,Washed / Wet,84.67,0.11
Arabica,Typica,Washed / Wet,84.67,0.11
Arabica,Caturra,Washed / Wet,84.67,0.0
Arabica,Other,Washed / Wet,84.67,0.11
Arabica,Bourbon,Washed / Wet,84.67,0.11
Arabica,Bourbon,Washed / Wet,84.67,0.12
Arabica,Typica,Washed / Wet,84.67,0.13
Arabica,Other,Washed / Wet,84.67,0.11
Arabica,Other,Washed / Wet,84.58,0.11
Arabica,Other,Washed / Wet,84.58,0.0
Arabica,Caturra,Washed / Wet,84.58,0.0
Arabica,Other,Washed / Wet,84.58,0.1
Arabica,Other,Washed / Wet,84.58,0.11
Arabica,Bourbon,Washed / Wet,84.58,0.09
Arabica,Caturra,Washed / Wet,84.58,0.0
Arabica,Caturra,Washed / Wet,84.58,0.0
Arabica,Other,Washed / Wet,84.58,0.0
Arabica,Caturra,Washed / Wet,84.58,0.0
Arabica,Bourbon,Other,84.58,0.12
Arabica,Caturra,Washed / Wet,84.58,0.11
Arabica,Bourbon,Other,84.58,0.12
Arabica,Catuai,Other,84.58,0.11
Arabica,Caturra,Washed / Wet,84.5,0.1
Arabica,Other,Washed / Wet,84.5,0.11
Arabica,Other,Washed / Wet,84.5,0.1
Arabica,Caturra,Washed / Wet,84.5,0.11
Arabica,Other,Washed / Wet,84.5,0.12
Arabica,Other,Washed / Wet,84.5,0.0
Arabica,Bourbon,Washed / Wet,84.5,0.11
Arabica,Other,Washed / Wet,84.5,0.11
Arabica,Typica,Washed / Wet,84.5,0.12
Arabica,Typica,Washed / Wet,84.5,0.11
Arabica,Bourbon,Washed / Wet,84.5,0.11
Arabica,Caturra,Washed / Wet,84.42,0.1
Arabica,Other,Other,84.42,0.0
Arabica,Caturra,Natural / Dry,84.42,0.0
Arabica,Caturra,Washed / Wet,84.42,0.0
Arabica,Typica,Washed / Wet,84.42,0.11
Arabica,Other,Natural / Dry,84.42,0.11
Arabica,Other,Washed / Wet,84.42,0.12
Arabica,Other,Washed / Wet,84.33,0.11
Arabica,Caturra,Washed / Wet,84.33,0.0
Arabica,Catuai,Washed / Wet,84.33,0.11
Arabica,Caturra,Natural / Dry,84.33,0.11
Arabica,Caturra,Washed / Wet,84.33,0.0
Arabica,Typica,Washed / Wet,84.33,0.12
Arabica,Typica,Washed / Wet,84.25,0.12
Arabica,Other,Natural / Dry,84.25,0.12
Arabica,Caturra,Natural / Dry,84.25,0.11
Arabica,Caturra,Washed / Wet,84.25,0.11
Arabica,Caturra,Washed / Wet,84.25,0.1
Arabica,Other,Natural / Dry,84.25,0.1
Arabica,Caturra,Washed / Wet,84.25,0.11
Arabica,Caturra,Washed / Wet,84.25,0.12
Arabica,Other,Washed / Wet,84.25,0.12
Arabica,Caturra,Natural / Dry,84.25,0.12
Arabica,Other,Washed / Wet,84.25,0.12
Arabica,Other,Washed / Wet,84.25,0.12
Arabica,Bourbon,Other,84.25,0.1
Arabica,Caturra,Washed / Wet,84.25,0.11
Arabica,Other,Natural / Dry,84.25,0.11
Arabica,Typica,Other,84.25,0.12
Arabica,Bourbon,Washed / Wet,84.25,0.12
Arabica,Bourbon,Washed / Wet,84.25,0.1
Arabica,Other,Natural / Dry,84.25,0.13
Arabica,Bourbon,Washed / Wet,84.17,0.13
Arabica,Caturra,Washed / Wet,84.17,0.0
Arabica,Caturra,Washed / Wet,84.17,0.09
Arabica,Caturra,Washed / Wet,84.17,0.11
Arabica,Caturra,Washed / Wet,84.17,0.1
Arabica,Bourbon,Washed / Wet,84.17,0.1
Arabica,Caturra,Washed / Wet,84.17,0.0
Arabica,Caturra,Natural / Dry,84.17,0.12
Arabica,Catuai,Natural / Dry,84.17,0.0
Arabica,Caturra,Washed / Wet,84.17,0.0
Arabica,Other,Natural / Dry,84.17,0.1
Arabica,Other,Washed / Wet,84.17,0.13
Arabica,Other,Washed / Wet,84.17,0.12
Arabica,Other,Washed / Wet,84.17,0.08
Arabica,Other,Natural / Dry,84.17,0.11
Arabica,Bourbon,Washed / Wet,84.17,0.11
Arabica,Bourbon,Natural / Dry,84.17,0.11
Arabica,Caturra,Washed / Wet,84.17,0.0
Arabica,Catuai,Natural / Dry,84.17,0.11
Arabica,Other,Washed / Wet,84.17,0.11
Arabica,Other,Natural / Dry,84.13,0.12
Arabica,Caturra,Washed / Wet,84.08,0.0
Arabica,Typica,Washed / Wet,84.08,0.1
Arabica,Bourbon,Washed / Wet,84.08,0.1
Arabica,Caturra,Washed / Wet,84.08,0.0
Arabica,Bourbon,Washed / Wet,84.08,0.1
Arabica,Other,Natural / Dry,84.08,0.11
Arabica,Typica,Washed / Wet,84.08,0.11
Arabica,Other,Natural / Dry,84.08,0.09
Arabica,Other,Natural / Dry,84.0,0.11
Arabica,Caturra,Washed / Wet,84.0,0.1
Arabica,Caturra,Washed / Wet,84.0,0.12
Arabica,Other,Washed / Wet,84.0,0.11
Arabica,Bourbon,Natural / Dry,84.0,0.1
Arabica,Bourbon,Other,84.0,0.1
Arabica,Caturra,Natural / Dry,84.0,0.12
Arabica,Caturra,Washed / Wet,84.0,0.12
Arabica,Other,Natural / Dry,84.0,0.09
Arabica,Other,Natural / Dry,84.0,0.1
Arabica,Caturra,Washed / Wet,84.0,0.11
Arabica,Other,Washed / Wet,84.0,0.0
Arabica,Other,Washed / Wet,84.0,0.12
Arabica,Other,Washed / Wet,84.0,0.0
Arabica,Other,Washed / Wet,84.0,0.1
Arabica,Bourbon,Natural / Dry,83.92,0.0
Arabica,Other,Washed / Wet,83.92,0.11
Arabica,Other,Natural / Dry,83.92,0.1
Arabica,Bourbon,Natural / Dry,83.92,0.11
Arabica,Typica,Washed / Wet,83.92,0.11
Arabica,Caturra,Washed / Wet,83.92,0.0
Arabica,Typica,Washed / Wet,83.92,0.06
Arabica,Caturra,Natural / Dry,83.92,0.12
Arabica,Typica,Washed / Wet,83.92,0.12
Arabica,Typica,Washed / Wet,83.92,0.11
Arabica,Typica,Washed / Wet,83.92,0.0
Arabica,Caturra,Washed / Wet,83.83,0.0
Arabica,Caturra,Washed / Wet,83.83,0.0
Arabica,Bourbon,Washed / Wet,83.83,0.11
Arabica,Other,Natural / Dry,83.83,0.0
Arabica,Typica,Washed / Wet,83.83,0.0
Arabica,Bourbon,Other,83.83,0.0
Arabica,Catuai,Washed / Wet,83.83,0.1
Arabica,Bourbon,Washed / Wet,83.83,0.1
Arabica,Other,Natural / Dry,83.83,0.1
Arabica,Caturra,Washed / Wet,83.83,0.11
Arabica,Bourbon,Washed / Wet,83.83,0.11
Arabica,Bourbon,Natural / Dry,83.83,0.1
Arabica,Other,Natural / Dry,83.83,0.11
Arabica,Other,Other,83.83,0.12
Arabica,Other,Washed / Wet,83.75,0.11
Arabica,Bourbon,Natural / Dry,83.75,0.11
Arabica,Caturra,Washed / Wet,83.75,0.11
Arabica,Typica,Natural / Dry,83.75,0.0
Arabica,Other,Washed / Wet,83.75,0.1
Arabica,Caturra,Natural / Dry,83.75,0.0
Arabica,Bourbon,Natural / Dry,83.75,0.12
Arabica,Other,Washed / Wet,83.75,0.12
Arabica,Caturra,Washed / Wet,83.75,0.0
Arabica,Other,Washed / Wet,83.75,0.0
Arabica,Caturra,Washed / Wet,83.75,0.0
Arabica,Caturra,Washed / Wet,83.75,0.11
Arabica,Other,Natural / Dry,83.75,0.0
Arabica,Caturra,Natural / Dry,83.75,0.13
Arabica,Caturra,Washed / Wet,83.75,0.11
Arabica,Bourbon,Natural / Dry,83.67,0.11
Arabica,Other,Washed / Wet,83.67,0.11
Arabica,Caturra,Washed / Wet,83.67,0.1
Arabica,Caturra,Washed / Wet,83.67,0.1
Arabica,Bourbon,Natural / Dry,83.67,0.11
Arabica,Caturra,Natural / Dry,83.67,0.1
Arabica,Caturra,Washed / Wet,83.67,0.11
Arabica,Bourbon,Washed / Wet,83.67,0.1
Arabica,Caturra,Washed / Wet,83.67,0.0
Arabica,Caturra,Washed / Wet,83.67,0.0
Arabica,Bourbon,Washed / Wet,83.67,0.12
Arabica,Bourbon,Washed / Wet,83.67,0.11
Arabica,Caturra,Washed / Wet,83.67,0.11
Arabica,Caturra,Natural / Dry,83.67,0.11
Arabica,Bourbon,Washed / Wet,83.67,0.11
Arabica,Typica,Washed / Wet,83.67,0.12
Arabica,Typica,Washed / Wet,83.67,0.12
Arabica,Caturra,Washed / Wet,83.67,0.1
Arabica,Bourbon,Natural / Dry,83.58,0.11
Arabica,Caturra,Washed / Wet,83.58,0.11
Arabica,Caturra,Washed / Wet,83.58,0.11
Arabica,Other,Washed / Wet,83.58,0.1
Arabica,Caturra,Washed / Wet,83.58,0.12
Arabica,Caturra,Washed / Wet,83.58,0.12
Arabica,Other,Washed / Wet,83.58,0.0
Arabica,Other,Washed / Wet,83.58,0.12
Arabica,Caturra,Natural / Dry,83.58,0.0
Arabica,Caturra,Washed / Wet,83.58,0.12
Arabica,Caturra,Washed / Wet,83.58,0.0
Arabica,Typica,Other,83.58,0.11
Arabica,Caturra,Washed / Wet,83.58,0.11
Arabica,Typica,Washed / Wet,83.58,0.12
Arabica,Caturra,Natural / Dry,83.58,0.11
Arabica,Catuai,Other,83.58,0.12
Arabica,Caturra,Washed / Wet,83.5,0.0
Arabica,Caturra,Washed / Wet,83.5,0.0
Arabica,Caturra,Natural / Dry,83.5,0.0
Arabica,Bourbon,Washed / Wet,83.5,0.1
Arabica,Caturra,Washed / Wet,83.5,0.12
Arabica,Other,Washed / Wet,83.5,0.13
Arabica,Other,Other,83.5,0.13
Arabica,Caturra,Washed / Wet,83.5,0.11
Arabica,Caturra,Washed / Wet,83.5,0.1
Arabica,Caturra,Washed / Wet,83.5,0.0
Arabica,Caturra,Natural / Dry,83.5,0.1
Arabica,Caturra,Washed / Wet,83.5,0.0
Arabica,Caturra,Washed / Wet,83.5,0.11
Arabica,Bourbon,Natural / Dry,83.5,0.13
Arabica,Typica,Other,83.5,0.11
Arabica,Other,Washed / Wet,83.5,0.12
Arabica,Caturra,Washed / Wet,83.5,0.1
Arabica,Caturra,Washed / Wet,83.5,0.11
Arabica,Bourbon,Washed / Wet,83.5,0.0
Arabica,Caturra,Washed / Wet,83.42,0.0
Arabica,Bourbon,Washed / Wet,83.42,0.1
Arabica,Caturra,Washed / Wet,83.42,0.11
Arabica,Caturra,Washed / Wet,83.42,0.09
Arabica,Other,Washed / Wet,83.42,0.11
Arabica,Other,Washed / Wet,83.42,0.13
Arabica,Bourbon,Washed / Wet,83.42,0.11
Arabica,Caturra,Natural / Dry,83.42,0.12
Arabica,Other,Other,83.42,0.12
Arabica,Bourbon,Washed / Wet,83.42,0.13
Arabica,Caturra,Washed / Wet,83.42,0.12
Arabica,Bourbon,Natural / Dry,83.42,0.1
Arabica,Caturra,Washed / Wet,83.42,0.1
Arabica,Bourbon,Washed / Wet,83.42,0.11
Arabica,Other,Natural / Dry,83.42,0.0
Arabica,Caturra,Washed / Wet,83.42,0.11
Arabica,Caturra,Washed / Wet,83.33,0.0
Arabica,Caturra,Washed / Wet,83.33,0.0
Arabica,Caturra,Washed / Wet,83.33,0.0
Arabica,Catuai,Other,83.33,0.1
Arabica,Caturra,Washed / Wet,83.33,0.12
Arabica,Caturra,Washed / Wet,83.33,0.11
Arabica,Other,Other,83.33,0.12
Arabica,Other,Washed / Wet,83.33,0.12
Arabica,Caturra,Washed / Wet,83.33,0.12
Arabica,Other,Natural / Dry,83.33,0.11
Arabica,Catuai,Washed / Wet,83.33,0.11
Arabica,Typica,Washed / Wet,83.33,0.11
Arabica,Caturra,Natural / Dry,83.33,0.11
Arabica,Bourbon,Washed / Wet,83.33,0.11
Arabica,Other,Natural / Dry,83.33,0.1
Arabica,Bourbon,Washed / Wet,83.33,0.0
Arabica,Caturra,Washed / Wet,83.33,0.0
Arabica,Typica,Washed / Wet,83.25,0.11
Arabica,Catuai,Other,83.25,0.11
Arabica,Other,Washed / Wet,83.25,0.11
Arabica,Other,Washed / Wet,83.25,0.12
Arabica,Caturra,Natural / Dry,83.25,0.0
Arabica,Typica,Natural / Dry,83.25,0.12
Arabica,Bourbon,Washed / Wet,83.25,0.1
Arabica,Typica,Washed / Wet,83.25,0.1
Arabica,Caturra,Natural / Dry,83.25,0.0
Arabica,Caturra,Washed / Wet,83.25,0.1
Arabica,Caturra,Washed / Wet,83.25,0.11
Arabica,Bourbon,Washed / Wet,83.25,0.12
Arabica,Other,Natural / Dry,83.25,0.11
Arabica,Other,Washed / Wet,83.25,0.13
Arabica,Caturra,Washed / Wet,83.25,0.12
Arabica,Bourbon,Washed / Wet,83.25,0.11
Arabica,Other,Other,83.25,0.11
Arabica,Caturra,Washed / Wet,83.25,0.12
Arabica,Caturra,Washed / Wet,83.25,0.11
Arabica,Bourbon,Natural / Dry,83.17,0.11
Arabica,Bourbon,Washed / Wet,83.17,0.1
Arabica,Bourbon,Washed / Wet,83.17,0.12
Arabica,Other,Natural / Dry,83.17,0.07
Arabica,Caturra,Washed / Wet,83.17,0.11
Arabica,Catuai,Washed / Wet,83.17,0.11
Arabica,Other,Washed / Wet,83.17,0.11
Arabica,Other,Washed / Wet,83.17,0.1
Arabica,Bourbon,Washed / Wet,83.17,0.0
Arabica,Bourbon,Washed / Wet,83.17,0.11
Arabica,Bourbon,Washed / Wet,83.17,0.12
Arabica,Other,Washed / Wet,83.17,0.1
Arabica,Other,Washed / Wet,83.17,0.13
Arabica,Caturra,Washed / Wet,83.17,0.0
Arabica,Other,Washed / Wet,83.17,0.1
Arabica,Catuai,Natural / Dry,83.17,0.1
Arabica,Caturra,Natural / Dry,83.17,0.11
Arabica,Catuai,Washed / Wet,83.17,0.09
