Species,Variety,Processing.Method,Total.Cup.Points,Moisture,Color
Arabica,Other,Washed / Wet,89.92,0.12,Green
Arabica,Other,Washed / Wet,88.83,0.12,Green
Arabica,Other,Washed / Wet,88.75,0.11,Bluish-Green
Arabica,Other,Natural / Dry,88.25,0.1,Green
Arabica,Catimor,Washed / Wet,87.25,0.1,Green
Arabica,Caturra,Washed / Wet,87.17,0.11,Green
Arabica,Other,Washed / Wet,87.17,0.13,Green
Arabica,Bourbon,Natural / Dry,86.92,0.12,Green
Arabica,SL14,Washed / Wet,86.83,0.12,Green
Arabica,Sumatra,Pulped natural / honey,86.58,0.0,Green
Arabica,Bourbon,Natural / Dry,86.42,0.12,Green
Arabica,Caturra,Washed / Wet,86.33,0.0,Blue-Green
Arabica,SL34,Washed / Wet,86.25,0.12,Blue-Green
Arabica,Caturra,Washed / Wet,86.17,0.1,Green
Arabica,Bourbon,Semi-washed / Semi-pulped,86.08,0.12,Green
Arabica,SL28,Natural / Dry,86.08,0.11,Bluish-Green
Arabica,Bourbon,Semi-washed / Semi-pulped,86.08,0.11,Blue-Green
Arabica,Caturra,Washed / Wet,86.0,0.12,Green
Arabica,SL28,Washed / Wet,86.0,0.11,Green
Arabica,Other,Washed / Wet,86.0,0.1,Blue-Green
Arabica,Bourbon,Washed / Wet,85.92,0.1,Green
Arabica,SL14,Natural / Dry,85.92,0.12,Green
Arabica,Caturra,Washed / Wet,85.92,0.0,Blue-Green
Arabica,Gesha,Washed / Wet,85.83,0.08,Bluish-Green
Arabica,Bourbon,Washed / Wet,85.83,0.12,Green
Arabica,Catuai,Washed / Wet,85.83,0.1,Bluish-Green
Arabica,Bourbon,Washed / Wet,85.58,0.1,Blue-Green
Arabica,SL28,Natural / Dry,85.5,0.1,Green
Arabica,Other,Natural / Dry,85.5,0.12,Green
Arabica,SL14,Washed / Wet,85.5,0.12,Green
Arabica,Bourbon,Washed / Wet,85.5,0.11,Green
Arabica,SL14,Washed / Wet,85.42,0.12,Green
Arabica,Bourbon,Semi-washed / Semi-pulped,85.42,0.11,Blue-Green
Arabica,Catimor,Natural / Dry,85.33,0.1,Green
Arabica,Pacamara,Natural / Dry,85.33,0.11,Green
Arabica,Caturra,Washed / Wet,85.33,0.0,Bluish-Green
Arabica,Caturra,Washed / Wet,85.33,0.1,Bluish-Green
Arabica,SL34,Washed / Wet,85.33,0.0,Green
Arabica,SL34,Washed / Wet,85.33,0.0,Green
Arabica,Caturra,Washed / Wet,85.25,0.11,Green
Arabica,Caturra,Natural / Dry,85.25,0.12,Green
Arabica,Sumatra Lintong,Semi-washed / Semi-pulped,85.17,0.11,Green
Arabica,Other,Natural / Dry,85.08,0.11,Green
Arabica,Hawaiian Kona,Natural / Dry,85.08,0.11,Bluish-Green
Arabica,Caturra,Natural / Dry,85.08,0.11,Green
Arabica,SL14,Washed / Wet,85.0,0.11,Green
Arabica,Caturra,Washed / Wet,85.0,0.0,Green
Arabica,Catuai,Washed / Wet,85.0,0.12,Green
Arabica,Typica,Washed / Wet,85.0,0.09,Green
Arabica,SL34,Washed / Wet,85.0,0.0,Green
Arabica,Mundo Novo,Natural / Dry,85.0,0.12,Green
Arabica,Caturra,Washed / Wet,84.92,0.12,Green
Arabica,Typica,Semi-washed / Semi-pulped,84.92,0.11,Green
Arabica,Other,Washed / Wet,84.92,0.12,Green
Arabica,Caturra,Washed / Wet,84.92,0.11,Green
Arabica,Bourbon,Natural / Dry,84.92,0.11,Green
Arabica,Catuai,Natural / Dry,84.92,0.12,Green
Arabica,Typica,Natural / Dry,84.83,0.0,Green
Arabica,SL14,Natural / Dry,84.83,0.12,Green
Arabica,Caturra,Pulped natural / honey,84.75,0.12,Green
Arabica,SL34,Washed / Wet,84.75,0.13,Green
Arabica,Catuai,Washed / Wet,84.75,0.11,Green
Arabica,Bourbon,Washed / Wet,84.67,0.0,Blue-Green
Arabica,Java,Washed / Wet,84.67,0.12,Green
Arabica,Mundo Novo,Pulped natural / honey,84.67,0.12,Green
Arabica,Catuai,Washed / Wet,84.67,0.1,Blue-Green
Arabica,Bourbon,Washed / Wet,84.67,0.1,Green
Arabica,Caturra,Washed / Wet,84.67,0.12,Green
Arabica,Other,Other,84.67,0.08,Green
Arabica,Catuai,Washed / Wet,84.67,0.11,Green
Arabica,Typica,Washed / Wet,84.67,0.11,Green
Arabica,Caturra,Washed / Wet,84.67,0.0,Green
Arabica,SL28,Washed / Wet,84.67,0.11,Bluish-Green
Arabica,Bourbon,Washed / Wet,84.67,0.11,Green
Arabica,Bourbon,Washed / Wet,84.67,0.12,Green
Arabica,Other,Washed / Wet,84.67,0.11,Blue-Green
Arabica,SL34,Washed / Wet,84.58,0.11,Blue-Green
Arabica,Other,Washed / Wet,84.58,0.0,Blue-Green
Arabica,Caturra,Washed / Wet,84.58,0.0,Green
Arabica,Peaberry,Washed / Wet,84.58,0.1,Bluish-Green
Arabica,Pacas,Washed / Wet,84.58,0.11,Green
Arabica,Bourbon,Washed / Wet,84.58,0.09,Green
Arabica,SL28,Washed / Wet,84.58,0.0,Green
Arabica,Caturra,Washed / Wet,84.58,0.0,Green
Arabica,Bourbon,Semi-washed / Semi-pulped,84.58,0.12,Bluish-Green
Arabica,Caturra,Washed / Wet,84.58,0.11,Green
Arabica,Bourbon,Semi-washed / Semi-pulped,84.58,0.12,Green
Arabica,Catuai,Semi-washed / Semi-pulped,84.58,0.11,Blue-Green
Arabica,Caturra,Washed / Wet,84.5,0.1,Bluish-Green
Arabica,SL14,Washed / Wet,84.5,0.11,Green
Arabica,Catimor,Washed / Wet,84.5,0.1,Green
Arabica,Caturra,Washed / Wet,84.5,0.11,Green
Arabica,Other,Washed / Wet,84.5,0.12,Green
Arabica,Other,Washed / Wet,84.5,0.0,Green
Arabica,Bourbon,Washed / Wet,84.5,0.11,Green
Arabica,SL28,Washed / Wet,84.5,0.11,Blue-Green
Arabica,Typica,Washed / Wet,84.5,0.12,Green
Arabica,Bourbon,Washed / Wet,84.5,0.11,Green
Arabica,Caturra,Washed / Wet,84.42,0.1,Blue-Green
Arabica,Mandheling,Other,84.42,0.0,Blue-Green
Arabica,Caturra,Natural / Dry,84.42,0.0,Green
Arabica,Caturra,Washed / Wet,84.42,0.0,Green
Arabica,Typica,Washed / Wet,84.42,0.11,Blue-Green
Arabica,Hawaiian Kona,Natural / Dry,84.42,0.11,Blue-Green
Arabica,SL28,Washed / Wet,84.33,0.11,Green
Arabica,Caturra,Washed / Wet,84.33,0.0,Green
Arabica,Catuai,Washed / Wet,84.33,0.11,Green
Arabica,Caturra,Natural / Dry,84.33,0.11,Green
Arabica,Caturra,Washed / Wet,84.33,0.0,Green
Arabica,Typica,Washed / Wet,84.33,0.12,Blue-Green
Arabica,Typica,Washed / Wet,84.25,0.12,Blue-Green
Arabica,Catimor,Natural / Dry,84.25,0.12,Green
Arabica,Caturra,Natural / Dry,84.25,0.11,Green
Arabica,Caturra,Washed / Wet,84.25,0.11,Green
Arabica,Caturra,Washed / Wet,84.25,0.1,Green
Arabica,Catimor,Natural / Dry,84.25,0.1,Green
Arabica,Caturra,Washed / Wet,84.25,0.11,Green
Arabica,Caturra,Washed / Wet,84.25,0.12,Green
Arabica,Other,Washed / Wet,84.25,0.12,Green
Arabica,Caturra,Natural / Dry,84.25,0.12,Green
Arabica,Other,Washed / Wet,84.25,0.12,Green
Arabica,Other,Washed / Wet,84.25,0.12,Green
Arabica,Bourbon,Other,84.25,0.1,Green
Arabica,Caturra,Washed / Wet,84.25,0.11,Green
Arabica,Hawaiian Kona,Natural / Dry,84.25,0.11,Bluish-Green
Arabica,Typica,Semi-washed / Semi-pulped,84.25,0.12,Green
Arabica,Bourbon,Washed / Wet,84.25,0.12,Green
Arabica,Bourbon,Washed / Wet,84.25,0.1,Bluish-Green
Arabica,Other,Natural / Dry,84.25,0.13,Green
Arabica,Bourbon,Washed / Wet,84.17,0.13,Green
Arabica,Caturra,Washed / Wet,84.17,0.0,Green
Arabica,Caturra,Washed / Wet,84.17,0.09,Bluish-Green
Arabica,Caturra,Washed / Wet,84.17,0.11,Green
Arabica,Caturra,Washed / Wet,84.17,0.1,Green
Arabica,Bourbon,Washed / Wet,84.17,0.1,Green
Arabica,Caturra,Washed / Wet,84.17,0.0,Bluish-Green
Arabica,Caturra,Natural / Dry,84.17,0.12,Bluish-Green
Arabica,Caturra,Washed / Wet,84.17,0.0,Blue-Green
Arabica,Gesha,Natural / Dry,84.17,0.1,Green
Arabica,Other,Washed / Wet,84.17,0.13,Green
Arabica,Other,Washed / Wet,84.17,0.12,Green
Arabica,SL28,Washed / Wet,84.17,0.08,Green
Arabica,Mundo Novo,Natural / Dry,84.17,0.11,Green
Arabica,Bourbon,Washed / Wet,84.17,0.11,Green
Arabica,Bourbon,Natural / Dry,84.17,0.11,Bluish-Green
Arabica,Caturra,Washed / Wet,84.17,0.0,Green
Arabica,Catuai,Natural / Dry,84.17,0.11,Bluish-Green
Arabica,Other,Washed / Wet,84.17,0.11,Green
Arabica,Mandheling,Natural / Dry,84.13,0.12,Bluish-Green
Arabica,Caturra,Washed / Wet,84.08,0.0,Green
Arabica,Typica,Washed / Wet,84.08,0.1,Bluish-Green
Arabica,Bourbon,Washed / Wet,84.08,0.1,Green
Arabica,Bourbon,Washed / Wet,84.08,0.1,Bluish-Green
Arabica,Hawaiian Kona,Natural / Dry,84.08,0.11,Green
Arabica,Typica,Washed / Wet,84.08,0.11,Green
Arabica,Gesha,Natural / Dry,84.0,0.11,Green
Arabica,Caturra,Washed / Wet,84.0,0.1,Green
Arabica,Caturra,Washed / Wet,84.0,0.12,Green
Arabica,Other,Washed / Wet,84.0,0.11,Green
Arabica,Bourbon,Natural / Dry,84.0,0.1,Green
Arabica,Bourbon,Other,84.0,0.1,Green
Arabica,Caturra,Natural / Dry,84.0,0.12,Green
Arabica,Caturra,Washed / Wet,84.0,0.12,Green
Arabica,Other,Natural / Dry,84.0,0.09,Green
Arabica,Yellow Bourbon,Natural / Dry,84.0,0.1,Green
Arabica,Caturra,Washed / Wet,84.0,0.11,Green
Arabica,SL34,Washed / Wet,84.0,0.0,Green
Arabica,Other,Washed / Wet,84.0,0.12,Green
Arabica,SL28,Washed / Wet,84.0,0.0,Bluish-Green
Arabica,Other,Washed / Wet,84.0,0.1,Green
Arabica,Bourbon,Natural / Dry,83.92,0.0,Green
Arabica,Mundo Novo,Washed / Wet,83.92,0.11,Green
Arabica,Catimor,Natural / Dry,83.92,0.1,Bluish-Green
Arabica,Bourbon,Natural / Dry,83.92,0.11,Green
Arabica,Typica,Washed / Wet,83.92,0.11,Green
Arabica,Caturra,Washed / Wet,83.92,0.0,Green
Arabica,Typica,Washed / Wet,83.92,0.06,Green
Arabica,Caturra,Natural / Dry,83.92,0.12,Green
Arabica,Typica,Washed / Wet,83.92,0.12,Blue-Green
Arabica,Typica,Washed / Wet,83.92,0.0,Green
Arabica,Caturra,Washed / Wet,83.83,0.0,Green
Arabica,Caturra,Washed / Wet,83.83,0.0,Blue-Green
Arabica,Bourbon,Washed / Wet,83.83,0.11,Green
Arabica,Yellow Bourbon,Natural / Dry,83.83,0.0,Green
Arabica,Typica,Washed / Wet,83.83,0.0,Green
Arabica,Bourbon,Semi-washed / Semi-pulped,83.83,0.0,Green
Arabica,Catuai,Washed / Wet,83.83,0.1,Green
Arabica,Bourbon,Washed / Wet,83.83,0.1,Green
Arabica,Yellow Bourbon,Natural / Dry,83.83,0.1,Green
Arabica,Caturra,Washed / Wet,83.83,0.11,Green
Arabica,Bourbon,Washed / Wet,83.83,0.11,Green
Arabica,Bourbon,Natural / Dry,83.83,0.1,Green
Arabica,Yellow Bourbon,Semi-washed / Semi-pulped,83.83,0.12,Green
Arabica,SL28,Washed / Wet,83.75,0.11,Green
Arabica,Bourbon,Natural / Dry,83.75,0.11,Green
Arabica,Caturra,Washed / Wet,83.75,0.11,Green
Arabica,Typica,Natural / Dry,83.75,0.0,Green
Arabica,Catimor,Washed / Wet,83.75,0.1,Green
Arabica,Caturra,Natural / Dry,83.75,0.0,Green
Arabica,Bourbon,Natural / Dry,83.75,0.12,Green
Arabica,Other,Washed / Wet,83.75,0.12,Green
Arabica,Caturra,Washed / Wet,83.75,0.0,Green
Arabica,Other,Washed / Wet,83.75,0.0,Green
Arabica,Caturra,Washed / Wet,83.75,0.0,Blue-Green
Arabica,Caturra,Washed / Wet,83.75,0.11,Green
Arabica,Hawaiian Kona,Natural / Dry,83.75,0.0,Bluish-Green
Arabica,Caturra,Washed / Wet,83.75,0.11,Bluish-Green
Arabica,Bourbon,Natural / Dry,83.67,0.11,Green
Arabica,SL28,Washed / Wet,83.67,0.11,Bluish-Green
Arabica,Caturra,Washed / Wet,83.67,0.1,Green
Arabica,Caturra,Washed / Wet,83.67,0.1,Green
Arabica,Bourbon,Natural / Dry,83.67,0.11,Green
Arabica,Caturra,Natural / Dry,83.67,0.1,Bluish-Green
Arabica,Bourbon,Washed / Wet,83.67,0.1,Green
Arabica,Caturra,Washed / Wet,83.67,0.0,Green
Arabica,Caturra,Washed / Wet,83.67,0.0,Green
Arabica,Bourbon,Washed / Wet,83.67,0.12,Green
Arabica,Bourbon,Washed / Wet,83.67,0.11,Green
Arabica,Caturra,Washed / Wet,83.67,0.11,Green
Arabica,Caturra,Natural / Dry,83.67,0.11,Green
Arabica,Bourbon,Washed / Wet,83.67,0.11,Green
Arabica,Typica,Washed / Wet,83.67,0.12,Green
Arabica,Typica,Washed / Wet,83.67,0.12,Green
Arabica,Caturra,Washed / Wet,83.67,0.1,Green
Arabica,Bourbon,Natural / Dry,83.58,0.11,Green
Arabica,Caturra,Washed / Wet,83.58,0.11,Green
Arabica,Caturra,Washed / Wet,83.58,0.11,Green
Arabica,Catimor,Washed / Wet,83.58,0.1,Green
Arabica,Caturra,Washed / Wet,83.58,0.12,Green
Arabica,Caturra,Washed / Wet,83.58,0.12,Green
Arabica,SL14,Washed / Wet,83.58,0.12,Green
Arabica,Caturra,Natural / Dry,83.58,0.0,Green
Arabica,Caturra,Washed / Wet,83.58,0.12,Green
Arabica,Typica,Other,83.58,0.11,Green
Arabica,Caturra,Washed / Wet,83.58,0.11,Green
Arabica,Caturra,Natural / Dry,83.58,0.11,Green
Arabica,Catuai,Semi-washed / Semi-pulped,83.58,0.12,Blue-Green
Arabica,Caturra,Washed / Wet,83.5,0.0,Bluish-Green
Arabica,Caturra,Washed / Wet,83.5,0.0,Blue-Green
Arabica,Caturra,Natural / Dry,83.5,0.0,Green
Arabica,Bourbon,Washed / Wet,83.5,0.1,Bluish-Green
Arabica,Caturra,Washed / Wet,83.5,0.12,Green
Arabica,Ruiru 11,Washed / Wet,83.5,0.13,Green
Arabica,Sumatra,Semi-washed / Semi-pulped,83.5,0.13,Bluish-Green
Arabica,Caturra,Washed / Wet,83.5,0.11,Green
Arabica,Caturra,Washed / Wet,83.5,0.1,Green
Arabica,Caturra,Natural / Dry,83.5,0.1,Green
Arabica,Caturra,Washed / Wet,83.5,0.0,Green
Arabica,Caturra,Washed / Wet,83.5,0.11,Green
Arabica,Bourbon,Natural / Dry,83.5,0.13,Green
Arabica,Typica,Semi-washed / Semi-pulped,83.5,0.11,Green
Arabica,Pacamara,Washed / Wet,83.5,0.12,Green
Arabica,Caturra,Washed / Wet,83.5,0.1,Green
Arabica,Caturra,Washed / Wet,83.5,0.11,Green
Arabica,Bourbon,Washed / Wet,83.5,0.0,Green
Arabica,Caturra,Washed / Wet,83.42,0.0,Green
Arabica,Bourbon,Washed / Wet,83.42,0.1,Green
Arabica,Caturra,Washed / Wet,83.42,0.11,Green
Arabica,Caturra,Washed / Wet,83.42,0.09,Blue-Green
Arabica,SL14,Washed / Wet,83.42,0.11,Green
Arabica,Catimor,Washed / Wet,83.42,0.13,Bluish-Green
Arabica,Caturra,Natural / Dry,83.42,0.12,Green
Arabica,Yellow Bourbon,Semi-washed / Semi-pulped,83.42,0.12,Green
Arabica,Bourbon,Washed / Wet,83.42,0.13,Green
Arabica,Caturra,Washed / Wet,83.42,0.12,Green
Arabica,Bourbon,Natural / Dry,83.42,0.1,Green
Arabica,Caturra,Washed / Wet,83.42,0.1,Green
Arabica,Bourbon,Washed / Wet,83.42,0.11,Green
Arabica,Hawaiian Kona,Natural / Dry,83.42,0.0,Green
Arabica,Caturra,Washed / Wet,83.42,0.11,Green
Arabica,Caturra,Washed / Wet,83.33,0.0,Blue-Green
Arabica,Caturra,Washed / Wet,83.33,0.0,Green
Arabica,Catuai,Semi-washed / Semi-pulped,83.33,0.1,Green
Arabica,Caturra,Washed / Wet,83.33,0.12,Green
Arabica,Caturra,Washed / Wet,83.33,0.11,Green
Arabica,Other,Semi-washed / Semi-pulped,83.33,0.12,Green
Arabica,Other,Washed / Wet,83.33,0.12,Green
Arabica,Caturra,Washed / Wet,83.33,0.12,Green
Arabica,Hawaiian Kona,Natural / Dry,83.33,0.11,Bluish-Green
Arabica,Catuai,Washed / Wet,83.33,0.11,Green
Arabica,Typica,Washed / Wet,83.33,0.11,Green
Arabica,Caturra,Natural / Dry,83.33,0.11,Green
Arabica,Bourbon,Washed / Wet,83.33,0.11,Green
Arabica,Hawaiian Kona,Natural / Dry,83.33,0.1,Bluish-Green
Arabica,Caturra,Washed / Wet,83.33,0.0,Green
Arabica,Typica,Washed / Wet,83.25,0.11,Blue-Green
Arabica,Catuai,Pulped natural / honey,83.25,0.11,Green
Arabica,Pacas,Washed / Wet,83.25,0.11,Green
Arabica,SL14,Washed / Wet,83.25,0.12,Green
Arabica,Caturra,Natural / Dry,83.25,0.0,Green
Arabica,Typica,Natural / Dry,83.25,0.12,Bluish-Green
Arabica,Bourbon,Washed / Wet,83.25,0.1,Blue-Green
Arabica,Typica,Washed / Wet,83.25,0.1,Green
Arabica,Caturra,Natural / Dry,83.25,0.0,Green
Arabica,Caturra,Washed / Wet,83.25,0.1,Green
Arabica,Caturra,Washed / Wet,83.25,0.11,Green
Arabica,Bourbon,Washed / Wet,83.25,0.12,Green
Arabica,Hawaiian Kona,Natural / Dry,83.25,0.11,Bluish-Green
Arabica,Mundo Novo,Washed / Wet,83.25,0.13,Green
Arabica,Caturra,Washed / Wet,83.25,0.12,Blue-Green
Arabica,Bourbon,Washed / Wet,83.25,0.11,Green
Arabica,Yellow Bourbon,Semi-washed / Semi-pulped,83.25,0.11,Blue-Green
Arabica,Caturra,Washed / Wet,83.25,0.12,Green
Arabica,Caturra,Washed / Wet,83.25,0.11,Green
Arabica,Bourbon,Natural / Dry,83.17,0.11,Green
Arabica,Bourbon,Washed / Wet,83.17,0.1,Green
Arabica,Bourbon,Washed / Wet,83.17,0.12,Green
Arabica,Caturra,Washed / Wet,83.17,0.11,Green
Arabica,Catuai,Washed / Wet,83.17,0.11,Blue-Green
Arabica,Catimor,Washed / Wet,83.17,0.11,Green
Arabica,Catimor,Washed / Wet,83.17,0.1,Green
Arabica,Bourbon,Washed / Wet,83.17,0.0,Green
Arabica,Bourbon,Washed / Wet,83.17,0.11,Green
Arabica,Bourbon,Washed / Wet,83.17,0.12,Green
Arabica,SL28,Washed / Wet,83.17,0.1,Bluish-Green
