Species,Variety,Processing.Method,Total.Cup.Points,Moisture,Color
Arabica,Other,Washed / Wet,83.17,0.13,Bluish-Green
Arabica,SL14,Washed / Wet,83.17,0.1,Bluish-Green
Arabica,Catuai,Natural / Dry,83.17,0.1,Green
Arabica,Caturra,Natural / Dry,83.17,0.11,Green
Arabica,Catuai,Washed / Wet,83.17,0.09,Green
Arabica,Hawaiian Kona,Natural / Dry,83.17,0.11,Bluish-Green
Arabica,Bourbon,Washed / Wet,83.17,0.12,Green
Arabica,Bourbon,Washed / Wet,83.17,0.11,Green
Arabica,Typica,Washed / Wet,83.17,0.11,Green
Arabica,Caturra,Washed / Wet,83.17,0.11,Green
Arabica,Typica,Washed / Wet,83.17,0.13,Green
Arabica,Caturra,Washed / Wet,83.17,0.11,Blue-Green
Arabica,Mundo Novo,Natural / Dry,83.17,0.12,Green
Arabica,Mundo Novo,Natural / Dry,83.17,0.11,Green
Arabica,Bourbon,Washed / Wet,83.17,0.0,Green
Arabica,Mundo Novo,Semi-washed / Semi-pulped,83.17,0.12,Blue-Green
Arabica,Caturra,Washed / Wet,83.08,0.0,Green
Arabica,Caturra,Washed / Wet,83.08,0.0,Green
Arabica,Yellow Bourbon,Pulped natural / honey,83.08,0.11,Bluish-Green
Arabica,Yellow Bourbon,Natural / Dry,83.08,0.0,Green
Arabica,Typica,Natural / Dry,83.08,0.0,Green
Arabica,Mundo Novo,Natural / Dry,83.08,0.11,Green
Arabica,Bourbon,Washed / Wet,83.08,0.0,Green
Arabica,Catuai,Washed / Wet,83.08,0.1,Green
Arabica,Hawaiian Kona,Natural / Dry,83.08,0.12,Bluish-Green
Arabica,Hawaiian Kona,Natural / Dry,83.08,0.1,Bluish-Green
Arabica,Hawaiian Kona,Washed / Wet,83.08,0.12,Green
Arabica,Bourbon,Natural / Dry,83.0,0.0,Green
Arabica,Bourbon,Natural / Dry,83.0,0.11,Green
Arabica,Bourbon,Natural / Dry,83.0,0.11,Bluish-Green
Arabica,Bourbon,Washed / Wet,83.0,0.12,Green
Arabica,Bourbon,Natural / Dry,83.0,0.12,Green
Arabica,Caturra,Other,83.0,0.0,Green
Arabica,Catuai,Washed / Wet,83.0,0.11,Green
Arabica,Catuai,Washed / Wet,83.0,0.11,Green
Arabica,Bourbon,Washed / Wet,83.0,0.11,Green
Arabica,Catuai,Natural / Dry,83.0,0.0,Green
Arabica,Typica,Washed / Wet,83.0,0.08,Green
Arabica,SL14,Washed / Wet,83.0,0.12,Green
Arabica,Other,Washed / Wet,83.0,0.0,Bluish-Green
Arabica,Bourbon,Washed / Wet,83.0,0.1,Green
Arabica,Catuai,Washed / Wet,83.0,0.11,Green
Arabica,Yellow Bourbon,Semi-washed / Semi-pulped,83.0,0.12,Bluish-Green
Arabica,Caturra,Washed / Wet,83.0,0.11,Green
Arabica,Caturra,Washed / Wet,83.0,0.0,Green
Arabica,Caturra,Natural / Dry,83.0,0.11,Green
Arabica,Caturra,Natural / Dry,83.0,0.0,Green
Arabica,Caturra,Washed / Wet,83.0,0.11,Green
Arabica,Typica,Washed / Wet,83.0,0.11,Green
Arabica,Typica,Semi-washed / Semi-pulped,83.0,0.11,Green
Arabica,Bourbon,Washed / Wet,83.0,0.11,Green
Arabica,Caturra,Washed / Wet,83.0,0.0,Green
Arabica,Caturra,Washed / Wet,83.0,0.11,Green
Arabica,Bourbon,Washed / Wet,83.0,0.1,Green
Arabica,Caturra,Washed / Wet,83.0,0.12,Bluish-Green
Arabica,Bourbon,Natural / Dry,82.92,0.0,Green
Arabica,Bourbon,Washed / Wet,82.92,0.0,Green
Arabica,Caturra,Washed / Wet,82.92,0.11,Green
Arabica,Caturra,Natural / Dry,82.92,0.09,Green
Arabica,Ethiopian Heirlooms,Washed / Wet,82.92,0.0,Bluish-Green
Arabica,Typica,Natural / Dry,82.92,0.0,Green
Arabica,Other,Washed / Wet,82.92,0.11,Blue-Green
Arabica,Other,Washed / Wet,82.92,0.0,Bluish-Green
Arabica,Typica,Natural / Dry,82.92,0.13,Blue-Green
Arabica,Bourbon,Washed / Wet,82.92,0.12,Bluish-Green
Arabica,Moka Peaberry,Semi-washed / Semi-pulped,82.92,0.11,Green
Arabica,SL14,Washed / Wet,82.92,0.12,Green
Arabica,SL14,Washed / Wet,82.92,0.12,Green
Arabica,Bourbon,Washed / Wet,82.92,0.1,Green
Arabica,Caturra,Natural / Dry,82.92,0.1,Green
Arabica,Caturra,Washed / Wet,82.92,0.11,Green
Arabica,Caturra,Natural / Dry,82.92,0.0,Bluish-Green
Arabica,Bourbon,Washed / Wet,82.92,0.11,Green
Arabica,Other,Washed / Wet,82.92,0.11,Green
Arabica,Typica,Natural / Dry,82.92,0.1,Green
Arabica,Typica,Washed / Wet,82.92,0.14,Green
Arabica,Hawaiian Kona,Washed / Wet,82.92,0.1,Green
Arabica,SL28,Washed / Wet,82.83,0.1,Green
Arabica,Bourbon,Washed / Wet,82.83,0.11,Green
Arabica,Yellow Bourbon,Pulped natural / honey,82.83,0.11,Bluish-Green
Arabica,Pacas,Washed / Wet,82.83,0.0,Green
Arabica,Bourbon,Washed / Wet,82.83,0.11,Bluish-Green
Arabica,Other,Other,82.83,0.11,Green
Arabica,Bourbon,Washed / Wet,82.83,0.11,Green
Arabica,Catuai,Natural / Dry,82.83,0.12,Green
Arabica,Bourbon,Washed / Wet,82.83,0.1,Green
Arabica,Typica,Natural / Dry,82.83,0.0,Green
Arabica,Caturra,Washed / Wet,82.83,0.11,Green
Arabica,Arusha,Washed / Wet,82.83,0.11,Green
Arabica,Caturra,Washed / Wet,82.83,0.12,Green
Arabica,Bourbon,Washed / Wet,82.83,0.12,Blue-Green
Arabica,Bourbon,Washed / Wet,82.83,0.11,Green
Arabica,Caturra,Washed / Wet,82.75,0.1,Green
Arabica,Caturra,Washed / Wet,82.75,0.11,Green
Arabica,Bourbon,Washed / Wet,82.75,0.11,Green
Arabica,Bourbon,Washed / Wet,82.75,0.1,Green
Arabica,Bourbon,Washed / Wet,82.75,0.1,Green
Arabica,Sulawesi,Other,82.75,0.12,Blue-Green
Arabica,Bourbon,Washed / Wet,82.75,0.12,Green
Arabica,Yellow Bourbon,Natural / Dry,82.75,0.0,Green
Arabica,Caturra,Washed / Wet,82.75,0.09,Bluish-Green
Arabica,Caturra,Natural / Dry,82.75,0.09,Green
Arabica,Yellow Bourbon,Pulped natural / honey,82.75,0.11,Bluish-Green
Arabica,Catimor,Natural / Dry,82.75,0.1,Green
Arabica,Catimor,Washed / Wet,82.75,0.11,Green
Arabica,Caturra,Washed / Wet,82.75,0.0,Blue-Green
Arabica,Gesha,Washed / Wet,82.75,0.12,Bluish-Green
Arabica,Pacas,Washed / Wet,82.75,0.13,Green
Arabica,Typica,Washed / Wet,82.75,0.12,Green
Arabica,Hawaiian Kona,Natural / Dry,82.75,0.1,Blue-Green
Arabica,Hawaiian Kona,Natural / Dry,82.75,0.1,Green
Arabica,Caturra,Washed / Wet,82.75,0.1,Green
Arabica,Typica,Washed / Wet,82.75,0.12,Green
Arabica,Caturra,Washed / Wet,82.75,0.0,Blue-Green
Arabica,Caturra,Washed / Wet,82.75,0.11,Green
Arabica,Hawaiian Kona,Washed / Wet,82.75,0.12,Green
Arabica,Catuai,Washed / Wet,82.75,0.0,Green
Arabica,Bourbon,Natural / Dry,82.67,0.0,Green
Arabica,Bourbon,Natural / Dry,82.67,0.11,Bluish-Green
Arabica,Catimor,Washed / Wet,82.67,0.13,Bluish-Green
Arabica,Pacas,Washed / Wet,82.67,0.0,Green
Arabica,Yellow Bourbon,Natural / Dry,82.67,0.0,Green
Arabica,Other,Washed / Wet,82.67,0.12,Green
Arabica,Bourbon,Washed / Wet,82.67,0.12,Green
Arabica,Typica,Washed / Wet,82.67,0.08,Green
Arabica,Typica,Natural / Dry,82.67,0.11,Green
Arabica,SL14,Washed / Wet,82.67,0.12,Green
Arabica,Typica,Washed / Wet,82.67,0.11,Green
Arabica,Caturra,Washed / Wet,82.67,0.11,Bluish-Green
Arabica,Caturra,Washed / Wet,82.67,0.11,Bluish-Green
Arabica,Caturra,Washed / Wet,82.67,0.11,Green
Arabica,Other,Washed / Wet,82.67,0.12,Bluish-Green
Arabica,Bourbon,Washed / Wet,82.58,0.1,Green
Arabica,Typica,Pulped natural / honey,82.58,0.11,Green
Arabica,Typica,Semi-washed / Semi-pulped,82.58,0.13,Blue-Green
Arabica,Caturra,Washed / Wet,82.58,0.12,Blue-Green
Arabica,SL14,Natural / Dry,82.58,0.12,Green
Arabica,Catuai,Washed / Wet,82.58,0.11,Green
Arabica,Caturra,Washed / Wet,82.58,0.11,Blue-Green
Arabica,Caturra,Washed / Wet,82.58,0.11,Green
Arabica,Typica,Washed / Wet,82.58,0.1,Green
Arabica,Typica,Washed / Wet,82.58,0.12,Green
Arabica,Caturra,Washed / Wet,82.58,0.11,Green
Arabica,Bourbon,Natural / Dry,82.5,0.11,Green
Arabica,Other,Washed / Wet,82.5,0.11,Green
Arabica,Caturra,Washed / Wet,82.5,0.1,Green
Arabica,Bourbon,Washed / Wet,82.5,0.1,Green
Arabica,Other,Washed / Wet,82.5,0.12,Green
Arabica,Other,Washed / Wet,82.5,0.12,Bluish-Green
Arabica,Other,Washed / Wet,82.5,0.0,Green
Arabica,Yellow Bourbon,Semi-washed / Semi-pulped,82.5,0.11,Bluish-Green
Arabica,Bourbon,Washed / Wet,82.5,0.12,Green
Arabica,Caturra,Washed / Wet,82.5,0.11,Green
Arabica,Bourbon,Washed / Wet,82.5,0.11,Green
Arabica,Typica,Washed / Wet,82.5,0.12,Green
Arabica,Caturra,Natural / Dry,82.5,0.11,Green
Arabica,Bourbon,Semi-washed / Semi-pulped,82.5,0.0,Blue-Green
Arabica,Caturra,Washed / Wet,82.5,0.11,Green
Arabica,Hawaiian Kona,Washed / Wet,82.5,0.12,Green
Arabica,Other,Washed / Wet,82.42,0.12,Green
Arabica,Bourbon,Washed / Wet,82.42,0.1,Green
Arabica,Bourbon,Washed / Wet,82.42,0.12,Green
Arabica,Bourbon,Washed / Wet,82.42,0.12,Green
Arabica,Caturra,Washed / Wet,82.42,0.11,Green
Arabica,Caturra,Washed / Wet,82.42,0.11,Green
Arabica,Catimor,Washed / Wet,82.42,0.1,Green
Arabica,Ruiru 11,Washed / Wet,82.42,0.13,Green
Arabica,Yellow Bourbon,Natural / Dry,82.42,0.0,Green
Arabica,Caturra,Washed / Wet,82.42,0.1,Green
Arabica,Typica,Washed / Wet,82.42,0.11,Green
Arabica,Catuai,Semi-washed / Semi-pulped,82.42,0.12,Blue-Green
Arabica,Yellow Bourbon,Natural / Dry,82.42,0.0,Green
Arabica,Bourbon,Washed / Wet,82.42,0.12,Green
Arabica,Caturra,Washed / Wet,82.42,0.11,Green
Arabica,Typica,Washed / Wet,82.42,0.12,Green
Arabica,Typica,Semi-washed / Semi-pulped,82.42,0.13,Green
Arabica,Typica,Washed / Wet,82.42,0.14,Green
Arabica,Caturra,Washed / Wet,82.42,0.13,Green
Arabica,Typica,Washed / Wet,82.42,0.11,Green
Arabica,Pacamara,Washed / Wet,82.42,0.14,Green
Arabica,Caturra,Washed / Wet,82.42,0.11,Green
Arabica,Typica,Washed / Wet,82.42,0.12,Bluish-Green
Arabica,Arusha,Natural / Dry,82.42,0.11,Blue-Green
Arabica,Caturra,Washed / Wet,82.42,0.0,Green
Arabica,Caturra,Washed / Wet,82.33,0.1,Green
Arabica,Catuai,Natural / Dry,82.33,0.11,Green
Arabica,Bourbon,Natural / Dry,82.33,0.11,Bluish-Green
Arabica,Caturra,Washed / Wet,82.33,0.1,Bluish-Green
Arabica,Catuai,Washed / Wet,82.33,0.0,Green
Arabica,Catimor,Pulped natural / honey,82.33,0.12,Green
Arabica,Bourbon,Natural / Dry,82.33,0.07,Green
Arabica,Mundo Novo,Natural / Dry,82.33,0.11,Green
Arabica,Bourbon,Washed / Wet,82.33,0.1,Green
Arabica,Gesha,Washed / Wet,82.33,0.12,Green
Arabica,Bourbon,Natural / Dry,82.33,0.11,Blue-Green
Arabica,Pacas,Washed / Wet,82.33,0.12,Green
Arabica,Caturra,Washed / Wet,82.33,0.1,Green
Arabica,Typica,Semi-washed / Semi-pulped,82.33,0.11,Green
Arabica,Typica,Washed / Wet,82.33,0.11,Green
Arabica,Bourbon,Washed / Wet,82.33,0.12,Green
Arabica,Caturra,Washed / Wet,82.33,0.0,Green
Arabica,Typica,Washed / Wet,82.33,0.12,Green
Arabica,Bourbon,Washed / Wet,82.33,0.11,Green
Arabica,Bourbon,Washed / Wet,82.33,0.13,Green
Arabica,Bourbon,Washed / Wet,82.33,0.1,Green
Arabica,Mundo Novo,Natural / Dry,82.33,0.12,Green
Arabica,Typica,Washed / Wet,82.33,0.11,Green
Arabica,Mundo Novo,Washed / Wet,82.33,0.11,Green
Arabica,Caturra,Natural / Dry,82.33,0.0,Green
Arabica,Catuai,Washed / Wet,82.25,0.09,Green
Arabica,Pacas,Washed / Wet,82.25,0.11,Green
Arabica,Yellow Bourbon,Natural / Dry,82.25,0.0,Green
Arabica,Bourbon,Washed / Wet,82.25,0.12,Green
Arabica,Catuai,Washed / Wet,82.25,0.11,Green
Arabica,Gesha,Washed / Wet,82.25,0.13,Blue-Green
Arabica,Bourbon,Natural / Dry,82.25,0.11,Green
Arabica,Typica,Washed / Wet,82.25,0.11,Green
Arabica,Mundo Novo,Washed / Wet,82.25,0.12,Blue-Green
Arabica,Hawaiian Kona,Natural / Dry,82.25,0.0,Bluish-Green
Arabica,Bourbon,Washed / Wet,82.25,0.11,Green
Arabica,Bourbon,Washed / Wet,82.25,0.13,Green
Arabica,Typica,Washed / Wet,82.25,0.12,Green
Arabica,Other,Washed / Wet,82.25,0.0,Green
Arabica,Typica,Washed / Wet,82.25,0.11,Green
Arabica,Typica,Washed / Wet,82.25,0.1,Green
Arabica,Caturra,Washed / Wet,82.25,0.12,Green
Arabica,Caturra,Washed / Wet,82.25,0.11,Green
Arabica,Arusha,Natural / Dry,82.25,0.12,Green
Arabica,Bourbon,Natural / Dry,82.17,0.11,Green
Arabica,Caturra,Washed / Wet,82.17,0.11,Bluish-Green
Arabica,Bourbon,Washed / Wet,82.17,0.13,Green
Arabica,Other,Washed / Wet,82.17,0.12,Green
Arabica,Yellow Bourbon,Natural / Dry,82.17,0.0,Green
Arabica,Catuai,Washed / Wet,82.17,0.11,Green
Arabica,Bourbon,Washed / Wet,82.17,0.09,Blue-Green
Arabica,Mundo Novo,Natural / Dry,82.17,0.12,Green
Arabica,Other,Washed / Wet,82.17,0.12,Green
Arabica,Other,Washed / Wet,82.17,0.12,Green
Arabica,Typica,Other,82.17,0.11,Green
Arabica,Typica,Washed / Wet,82.17,0.0,Green
Arabica,Caturra,Washed / Wet,82.17,0.0,Bluish-Green
Arabica,Typica,Washed / Wet,82.17,0.12,Green
Arabica,Typica,Washed / Wet,82.17,0.1,Green
Arabica,Caturra,Washed / Wet,82.08,0.0,Green
Arabica,Bourbon,Natural / Dry,82.08,0.11,Green
Arabica,Yellow Bourbon,Natural / Dry,82.08,0.0,Green
Arabica,Caturra,Washed / Wet,82.08,0.0,Blue-Green
Arabica,Bourbon,Washed / Wet,82.08,0.12,Green
Arabica,Other,Washed / Wet,82.08,0.12,Green
Arabica,Caturra,Washed / Wet,82.08,0.11,Green
Arabica,Hawaiian Kona,Natural / Dry,82.08,0.11,Bluish-Green
Arabica,Typica,Washed / Wet,82.08,0.13,Green
Arabica,Typica,Washed / Wet,82.08,0.13,Green
Arabica,Typica,Washed / Wet,82.08,0.11,Green
Arabica,Other,Natural / Dry,82.08,0.12,Green
Arabica,Typica,Washed / Wet,82.08,0.11,Green
Arabica,Hawaiian Kona,Washed / Wet,82.08,0.1,Green
Arabica,Caturra,Washed / Wet,82.0,0.12,Green
Arabica,Caturra,Natural / Dry,82.0,0.1,Green
Arabica,Bourbon,Natural / Dry,82.0,0.11,Green
Arabica,Other,Washed / Wet,82.0,0.13,Green
Arabica,Other,Washed / Wet,82.0,0.12,Blue-Green
Arabica,Other,Washed / Wet,82.0,0.12,Green
Arabica,Gesha,Washed / Wet,82.0,0.13,Bluish-Green
Arabica,Typica,Washed / Wet,82.0,0.09,Green
Arabica,Catuai,Washed / Wet,82.0,0.1,Green
Arabica,Caturra,Washed / Wet,82.0,0.11,Green
Arabica,Caturra,Washed / Wet,82.0,0.11,Green
Arabica,Typica,Washed / Wet,82.0,0.12,Bluish-Green
Arabica,Mundo Novo,Natural / Dry,82.0,0.11,Blue-Green
Arabica,Typica,Washed / Wet,82.0,0.12,Green
Arabica,Mundo Novo,Natural / Dry,82.0,0.12,Green
Arabica,Catuai,Semi-washed / Semi-pulped,82.0,0.11,Blue-Green
Arabica,Bourbon,Natural / Dry,82.0,0.11,Green
Arabica,Mundo Novo,Semi-washed / Semi-pulped,82.0,0.12,Green
Arabica,Bourbon,Washed / Wet,82.0,0.0,Green
Arabica,Bourbon,Washed / Wet,81.92,0.1,Green
Arabica,Bourbon,Washed / Wet,81.92,0.11,Green
Arabica,Caturra,Washed / Wet,81.92,0.12,Green
Arabica,Catuai,Natural / Dry,81.92,0.11,Green
Arabica,Bourbon,Washed / Wet,81.92,0.11,Green
Arabica,Catuai,Washed / Wet,81.92,0.11,Green
Arabica,Other,Washed / Wet,81.92,0.12,Green
Arabica,Typica,Other,81.92,0.11,Green
Arabica,Bourbon,Washed / Wet,81.92,0.12,Green
Arabica,Other,Washed / Wet,81.92,0.12,Green
Arabica,Bourbon,Washed / Wet,81.92,0.12,Green
Arabica,Mundo Novo,Natural / Dry,81.92,0.12,Green
Arabica,Bourbon,Washed / Wet,81.83,0.1,Green
Arabica,Catuai,Pulped natural / honey,81.83,0.0,Green
Arabica,Mundo Novo,Natural / Dry,81.83,0.11,Green
Arabica,Other,Other,81.83,0.11,Green
Arabica,Bourbon,Washed / Wet,81.83,0.1,Green
Arabica,Yellow Bourbon,Natural / Dry,81.83,0.0,Green
Arabica,Yellow Bourbon,Natural / Dry,81.83,0.0,Green
Arabica,Catuai,Washed / Wet,81.83,0.0,Green
Arabica,Catuai,Washed / Wet,81.83,0.11,Green
Arabica,Catuai,Washed / Wet,81.83,0.12,Green
Arabica,Caturra,Washed / Wet,81.83,0.09,Green
Arabica,Typica,Washed / Wet,81.83,0.0,Green
Arabica,Gesha,Washed / Wet,81.83,0.13,Green
Arabica,Bourbon,Natural / Dry,81.83,0.11,Green
Arabica,Caturra,Natural / Dry,81.83,0.1,Green
Arabica,Typica,Washed / Wet,81.83,0.11,Green
Arabica,Caturra,Washed / Wet,81.83,0.0,Bluish-Green
Arabica,Hawaiian Kona,Natural / Dry,81.83,0.0,Bluish-Green
Arabica,Bourbon,Semi-washed / Semi-pulped,81.83,0.12,Bluish-Green
Arabica,Bourbon,Washed / Wet,81.83,0.11,Green
Arabica,Bourbon,Washed / Wet,81.83,0.12,Green
Arabica,Typica,Semi-washed / Semi-pulped,81.83,0.12,Green
Arabica,Bourbon,Washed / Wet,81.75,0.11,Green
Arabica,Caturra,Washed / Wet,81.75,0.12,Bluish-Green
Arabica,Other,Washed / Wet,81.75,0.12,Bluish-Green
Arabica,Mundo Novo,Washed / Wet,81.75,0.13,Green
